player_id,player_name,season,darkolite_box_offense,darkolite_box_defense,darkolite_box_total,darkolite_box_z,rapm_darkolite,box_z,rapm_z,darkolite_blend_z,darkolite_dpm
1131,Jimmy Carruth,1996-97,85.83819594828333,0.5021850480334648,86.3403809963168,11.810363931176829,-0.0010237178136746,11.810363931176829,-0.04360271411095099,6.476078940797328,10.0
252,Karl Malone,1996-97,27.814002145243087,2.328914493502725,30.142916638745817,2.018390108706657,0.0566171900167918,2.018390108706657,2.6252831587396956,2.2914919812215246,8.020221934275336
893,Michael Jordan,1996-97,27.9122087275043,1.5502264504610792,29.46243517796538,1.899821473505581,0.0566171900167918,1.899821473505581,2.6252831587396956,2.226279231860933,7.791977311513266
56,Gary Payton,1996-97,24.41895338605449,1.4782269018394332,25.89718028789392,1.2786033642349577,0.05497470480678,1.2786033642349577,2.549232906612167,1.850386658304702,6.476353304066457
304,John Stockton,1996-97,24.244171596045792,1.1231320529508515,25.367303648996646,1.186276455244773,0.0566171900167918,1.1862764552447733,2.6252831587396956,1.8338294718174886,6.41840315136121
900,Matt Fish,1996-97,30.97861214349421,6.697345727959056,37.67595787145327,3.3309643217515976,0.0,3.3309643217515976,0.0037974069755801892,1.83373921010239,6.418087235358365
937,Scottie Pippen,1996-97,22.504091941802567,1.7841478038555194,24.28823974565809,0.9982579100123112,0.0566171900167918,0.9982579100123112,2.6252831587396956,1.7304192719396343,6.05646745178872
431,Shawn Kemp,1996-97,22.13556877454799,2.650044234088272,24.78561300863626,1.0849213569623462,0.0495569284480535,1.0849213569623462,2.298379349124879,1.6309774534354862,5.708421087024202
389,Toni Kukoc,1996-97,22.60209728797261,1.653307232927974,24.255404520900587,0.9925366258768809,0.0498265875005878,0.9925366258768809,2.3108650864750233,1.5857844331460451,5.550245516011158
406,Shaquille O'Neal,1996-97,26.147209988512945,3.329234777254245,29.47644476576719,1.902262535902028,0.025231656893562,1.902262535902028,1.1720720779766696,1.573676829835617,5.50786890442466
896,Tim Hardaway,1996-97,24.30341264679748,1.0349725071168885,25.33838515391436,1.1812376309834285,0.0440815941933978,1.1812376309834285,2.0448607493768365,1.569868034260462,5.494538119911617
255,Grant Hill,1996-97,24.212362404156966,2.097389907698351,26.30975231185532,1.3504908507024724,0.0391618434742628,1.350490850702473,1.8170667453187297,1.5604500032797888,5.461575011479261
204,Jeff Hornacek,1996-97,21.282047474727637,1.2549510234035626,22.5369984981312,0.6931176577136661,0.0550765155817191,0.6931176577136666,2.5539469430346697,1.530490836108118,5.356717926378413
297,Alonzo Mourning,1996-97,22.85903188599658,3.1915182945644687,26.05055018056105,1.3053268826591349,0.0339911315830581,1.3053268826591349,1.5776527520553727,1.427873523887442,4.997557333606047
363,Christian Laettner,1996-97,21.77703242750468,2.0624757056907126,23.8395081331954,0.9200698947205228,0.0435772814186743,0.9200698947205234,2.0215100893921534,1.4157179823227568,4.955012938129649
70,Steve Kerr,1996-97,20.22393430261428,0.8308391650537528,21.054773467668035,0.4348514020520792,0.0523664572191134,0.43485140205207923,2.428465982536401,1.331977963270024,4.661922871445084
96,Detlef Schrempf,1996-97,21.826408613624366,1.4440327778486557,23.27044139147302,0.8209144132075351,0.0416038040526546,0.8209144132075351,1.9301342582194079,1.320063343462878,4.620221702120073
302,Mookie Blaylock,1996-97,20.271685296626508,1.6996749250277423,21.971360221654248,0.5945595597715966,0.0468890053208886,0.5945595597715966,2.174849331782258,1.3056899571763942,4.56991485011738
765,Hersey Hawkins,1996-97,19.80803668355849,1.4191789512467388,21.227215634805237,0.4648981168958956,0.0495769174846608,0.46489811689589633,2.299304880304402,1.290381160429724,4.5163340615040335
165,Hakeem Olajuwon,1996-97,22.652211233998383,2.778546085195785,25.430757319194168,1.19733276685272,0.0299644525094772,1.19733276685272,1.3912096980078588,1.2845773858725327,4.496020850553864
935,Bryon Russell,1996-97,18.904431579811614,1.468415063687161,20.37284664349878,0.3160309234515,0.0530024299670478,0.3160309234515,2.457912754739787,1.279877747531229,4.479572116359302
976,Jeff McInnis,1996-97,32.416098121353784,-0.0792086092248028,32.33688951212898,2.400672925003925,-0.0040734668475211,2.400672925003925,-0.1848120117873955,1.2372047034478308,4.330216462067408
120,Steven Smith,1996-97,21.368487636741843,0.7163075757792238,22.084795212521065,0.6143247302079808,0.0424800527691494,0.6143247302079808,1.9707062739731294,1.2246964249022978,4.286437487158042
166,Ron Harper,1996-97,17.832041627217784,1.5896965460989911,19.42173817331677,0.1503076234980712,0.0527622871283193,0.15030762349807056,2.44679367535898,1.18372634683548,4.14304221392418
787,Charles Barkley,1996-97,22.07733410869829,3.0235808285425385,25.100914937240837,1.139860281100022,0.026555386427399,1.1398602811000227,1.233363323817621,1.181936650322942,4.136778276130297
247,Joe Dumars,1996-97,21.731747745681076,0.6467711882945528,22.378518933975627,0.6655038185245183,0.0383731359293125,0.6655038185245183,1.780548055663117,1.1672737252368879,4.085458038329108
87,Dikembe Mutombo,1996-97,18.017376084454693,3.5579111471062133,21.575287231560907,0.5255469024370137,0.0413469006664864,0.5255469024370137,1.9182391329717554,1.1522584061776475,4.032904421621766
121,Patrick Ewing,1996-97,22.512750113774526,2.8326307876064702,25.345380901380995,1.182456585910399,0.023102255470918,1.182456585910399,1.073476660443728,1.1334156194503973,3.9669546680763905
183,Bison Dele,1996-97,27.86213707249761,2.05146535865344,29.91360243115105,1.9784338803686448,0.0015461453445951,1.9784338803686445,0.07538693640666562,1.122062755585754,3.9272196445501395
72,Kenny Anderson,1996-97,22.580149185715555,1.434880621863118,24.015029807578674,0.9506531899009152,0.0286755221556992,0.9506531899009151,1.3315297217242748,1.122047629221427,3.9271667022749943
23,Dennis Rodman,1996-97,14.911330440536904,2.94567572318722,17.857006163724122,-0.1223348355926688,0.0566171900167918,-0.12233483559266888,2.6252831587396956,1.1140932618568953,3.8993264164991333
176,Antonio Harvey,1996-97,26.77799727902772,2.9324685476328773,29.7104658266606,1.9430388970487609,0.0012505189660136,1.9430388970487606,0.061698861476292374,1.0964358810411499,3.8375255836440245
912,Rafael Addison,1996-97,27.077935701074068,2.6881750732839427,29.76611077435801,1.9527345991135172,0.0005959818690875,1.9527345991135168,0.03139252389429791,1.0881306652648683,3.808457328427039
17,Clyde Drexler,1996-97,21.34541785165605,1.791535647691853,23.136953499347904,0.7976551797127809,0.0295711635845753,0.7976551797127809,1.3729996576888113,1.0565601948019947,3.6979606818069817
717,Arvydas Sabonis,1996-97,21.30361174834314,3.110689144734711,24.41430089307785,1.0202230906423615,0.0234379815987109,1.0202230906423615,1.0890214315678866,1.051182344058848,3.6791382042059677
1128,Stephen Howard,1996-97,25.40119642386984,1.5859079333959745,26.98710435726581,1.468514209462122,0.0109505546022301,1.4685142094621213,0.5108293323527878,1.0375560147629213,3.6314460516702245
679,Jason Caffey,1996-97,18.99206795997777,1.587852492684921,20.57992045266269,0.3521119342556653,0.0399052200808847,0.3521119342556653,1.8514865245743957,1.026830499899094,3.593906749646829
210,Terrell Brandon,1996-97,23.74997819025344,1.427601180911293,25.177579371164736,1.1532184661832643,0.0187164832363363,1.1532184661832643,0.8704068962956187,1.025953259733824,3.5908364090683835
64,Sam Perkins,1996-97,20.32547263496011,1.66040250189117,21.985875136851284,0.5970886715610613,0.0316367550341283,0.5970886715610613,1.4686405496575403,0.9892870167044768,3.462504558465669
224,Eddie Jones,1996-97,20.991048558939468,1.5694422463627005,22.56049080530217,0.6972110106696628,0.0283602565441414,0.6972110106696628,1.3169323122012155,0.9760855963588616,3.416299587256016
26,Luc Longley,1996-97,17.848094193746505,1.8740875376808523,19.72218173142736,0.2026575914153037,0.0405147222546827,0.20265759141530373,1.879707657834574,0.9573301213039754,3.350655424563914
731,Greg Ostertag,1996-97,15.464415168343283,3.065939494729357,18.53035466307264,-0.0050090637915078,0.0456059781050118,-0.005009063791507879,2.115442682237322,0.9491942219214656,3.3221797767251298
283,Lindsey Hunter,1996-97,19.049662802120928,1.1307883344455187,20.180451136566447,0.2825074933647746,0.0373476854123961,0.2825074933647746,1.7330677070545373,0.9352595895251679,3.2734085633380876
779,Glen Rice,1996-97,23.21272296371461,0.9274998606881776,24.140222824402795,0.972467105484327,0.019092009909447,0.972467105484327,0.8877945098927456,0.9343644374681154,3.2702755311384037
134,Kevin Johnson,1996-97,23.67410614433078,0.9219620939059748,24.59606823823675,1.0518946456835463,0.0169109473925011,1.0518946456835465,0.7868070834559214,0.9326052426811152,3.2641183493839034
901,Otis Thorpe,1996-97,19.160888024820792,1.801270933525094,20.962158958345885,0.4187140396064507,0.0323874992721736,0.4187140396064507,1.50340146454348,0.9068233808281139,3.1738818328983984
